#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C1", unit_software_version="21.50.5", system_software_part_number="006-B2647-N8", system_id="25B289D04", mode=NORMAL, flightstream_header="25B289D04_1011", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,        , 30.33,        ,      ,       ,       ,        ,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    0.0,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:47,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,       ,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  30.14,    0.0,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,    ,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:48,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  30.15,    0.0,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:49,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,   -2.95,       ,       ,       ,       ,      ,      ,      ,      ,      ,       ,       ,     0.00,        ,        ,  30.14,    0.0,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:50,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -14.10,       ,       ,       ,       ,      ,      ,  23.3,  22.7,  -4.8,  46.00,  45.23,     0.00,   70.29,    0.35,  30.13,    0.0,    0.00,   67.81,   69.08,   66.53,   68.74,   66.60,   69.25,   67.66,   68.72,   67.24,   68.95,   67.44,   69.68,   67.42,   66.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:51,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -15.93,       ,       ,       ,       ,      ,      ,  23.6,  23.0,  -4.8,  46.00,  45.23,     0.00,   70.30,    0.35,  30.14,    0.0,    0.00,   67.82,   69.09,   66.54,   68.75,   66.60,   69.26,   67.64,   68.75,   67.26,   68.97,   67.47,   69.69,   67.45,   66.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:52,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -13.52,       ,       ,       ,       ,      ,      ,  23.9,  23.2,  -4.8,  46.00,  45.23,     0.00,   70.30,    0.36,  30.13,    0.0,    0.00,   67.82,   69.11,   66.55,   68.76,   66.61,   69.27,   67.68,   68.75,   67.26,   68.98,   67.47,   69.71,   67.46,   66.15,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:53,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -15.24,       ,       ,       ,       ,      ,      ,  24.0,  23.4,  -4.8,  46.00,  45.23,     0.00,   70.32,    0.36,  30.13,    0.0,    0.00,   67.84,   69.10,   66.56,   68.77,   66.62,   69.26,   67.67,   68.76,   67.26,   68.98,   67.48,   69.73,   67.46,   66.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-04-17, 12:48:54,  +00:00,       ,             ,             ,   428.4, 30.33,        ,  21.2,   0.00,       ,  -15.97,       ,       ,       ,       ,      ,      ,  24.2,  23.5,  -4.8,  46.00,  45.23,     0.00,   70.31,    0.36,  30.13,    0.0,    0.00,   67.84,   69.11,   66.56,   68.77,   66.62,   69.27,   67.69,   68.76,   67.29,   68.99,   67.50,   69.72,   67.49,   66.14,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,   52.2, 108.75, 108.75, 134.930, 134.930,       ,       ,       ,       ,       ,       ,    1.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
