#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C1", unit_software_version="21.50.5", system_software_part_number="006-B2647-N8", system_id="25B289D04", mode=NORMAL, flightstream_header="25B289D04_20220502_095923", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-05-02, 09:59:23,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.4,  22.8,  -4.2,  26.64,  22.90,     0.00,   53.42,    0.56,  30.46,    0.0,    0.00,   52.17,   51.84,   51.65,   51.77,   50.84,   50.96,   49.93,   50.23,   50.07,   49.87,   49.89,   49.70,   49.82,   49.36,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:24,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,  -12.38,       ,       ,       ,       ,      ,      ,  23.6,  22.9,  -4.3,  26.65,  22.89,     0.00,   53.44,    0.56,  30.47,    0.0,    0.00,   52.16,   51.85,   51.66,   51.77,   50.84,   50.97,   50.03,   50.33,   50.17,   49.96,   49.97,   49.82,   49.90,   49.48,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:25,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,   -8.47,       ,       ,       ,       ,      ,      ,  23.8,  23.1,  -4.4,  26.65,  22.88,     0.00,   53.44,    0.56,  30.46,    0.0,    0.00,   52.17,   51.85,   51.65,   51.78,   50.84,   50.97,   50.15,   50.43,   50.28,   50.08,   50.09,   49.91,   50.01,   49.58,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:26,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,  -15.62,       ,       ,       ,       ,      ,      ,  23.9,  23.2,  -4.5,  26.65,  22.87,     0.00,   53.42,    0.55,  30.45,    0.0,    0.00,   52.18,   51.84,   51.67,   51.77,   50.85,   50.98,   50.04,   50.35,   50.21,   50.00,   50.02,   49.83,   49.92,   49.54,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:27,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,  -15.99,       ,       ,       ,       ,      ,      ,  24.0,  23.3,  -4.5,  26.65,  22.86,     0.00,   53.43,    0.55,  30.46,    0.0,    0.00,   52.19,   51.85,   51.66,   51.78,   50.85,   50.97,   49.93,   50.26,   50.08,   49.90,   49.89,   49.71,   49.81,   49.39,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:28,  +00:00,       ,             ,             ,   283.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.1,  23.4,  -4.6,  26.66,  22.85,     0.00,   53.43,    0.55,  30.47,    0.0,    0.00,   52.18,   51.85,   51.67,   51.79,   50.85,   50.97,   49.95,   50.22,   50.07,   49.88,   49.88,   49.71,   49.80,   49.39,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:29,  +00:00,       ,             ,             ,   282.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.1,  23.4,  -4.7,  26.66,  22.84,     0.00,   53.44,    0.54,  30.47,    0.0,    0.00,   52.20,   51.86,   51.66,   51.78,   50.86,   50.97,   50.03,   50.32,   50.16,   49.97,   49.98,   49.79,   49.90,   49.45,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:30,  +00:00,       ,             ,             ,   282.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.2,  23.5,  -4.7,  26.66,  22.83,     0.00,   53.44,    0.55,  30.46,    0.0,    0.00,   52.20,   51.86,   51.66,   51.79,   50.86,   50.99,   50.03,   50.39,   50.18,   49.99,   49.98,   49.84,   49.92,   49.52,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:31,  +00:00,       ,             ,             ,   282.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.2,  23.5,  -4.8,  26.66,  22.82,     0.00,   53.43,    0.55,  30.47,    0.0,    0.00,   52.20,   51.87,   51.67,   51.78,   50.87,   50.97,   49.94,   50.25,   50.09,   49.89,   49.90,   49.71,   49.81,   49.38,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 09:59:32,  +00:00,       ,             ,             ,   282.1, 30.50,        ,   9.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.2,  23.5,  -4.8,  26.66,  22.81,     0.00,   53.44,    0.56,  30.47,    0.0,    0.00,   52.20,   51.87,   51.67,   51.78,   50.86,   50.98,   50.03,   50.30,   50.16,   49.99,   49.98,   49.79,   49.85,   49.44,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.
