#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SR22 Turbo", unit_software_part_number="006-B1177-C1", unit_software_version="21.50.5", system_software_part_number="006-B2647-N8", system_id="25B289D04", mode=NORMAL, flightstream_header="25B289D04_20220502_135825", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft lbs,       %,   deg C,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2, E1 Torq,   E1 NG,  E1 ITT, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-05-02, 13:58:25,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  22.2,  21.5,  -3.9,       ,       ,     0.00,   52.28,    0.55,  30.48,    0.0,    0.00,   51.16,   50.63,   50.63,        ,   49.97,   50.05,   49.98,        ,   49.87,   49.68,   49.93,        ,        ,   49.23,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:26,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  22.7,  22.0,  -4.0,  26.99,  22.80,     0.00,   52.28,    0.55,  30.48,    0.0,    0.00,   51.18,   50.63,   50.65,   50.75,   49.97,   50.05,   49.99,   49.58,   49.87,   49.70,   49.93,   49.79,   49.20,   49.25,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:27,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.0,  22.4,  -4.1,  26.97,  22.79,     0.00,   52.28,    0.55,  30.48,    0.0,    0.00,   51.18,   50.64,   50.65,   50.75,   49.98,   50.06,   50.00,   49.60,   49.89,   49.71,   49.92,   49.81,   49.21,   49.24,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:28,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.3,  22.6,  -4.2,  26.95,  22.77,     0.00,   52.29,    0.55,  30.48,    0.0,    0.00,   51.18,   50.64,   50.65,   50.77,   49.98,   50.06,   49.99,   49.62,   49.90,   49.70,   49.94,   49.79,   49.19,   49.23,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:29,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.5,  22.8,  -4.3,  26.93,  22.76,     0.00,   52.29,    0.55,  30.49,    0.0,    0.00,   51.20,   50.64,   50.65,   50.76,   49.99,   50.06,   50.00,   49.61,   49.88,   49.69,   49.94,   49.79,   49.20,   49.22,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:30,  +00:00,       ,             ,             ,   262.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.7,  23.0,  -4.4,  26.91,  22.75,     0.00,   52.30,    0.54,  30.49,    0.0,    0.00,   51.18,   50.64,   50.66,   50.77,   49.99,   50.06,   50.00,   49.59,   49.89,   49.67,   49.90,   49.78,   49.20,   49.23,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:31,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.8,  23.1,  -4.5,  26.90,  22.74,     0.00,   52.30,    0.54,  30.48,    0.0,    0.00,   51.19,   50.64,   50.66,   50.78,   49.99,   50.07,   50.00,   49.61,   49.87,   49.69,   49.91,   49.79,   49.19,   49.24,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:32,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  23.9,  23.2,  -4.6,  26.89,  22.73,     0.00,   52.30,    0.55,  30.49,    0.0,    0.00,   51.20,   50.65,   50.66,   50.78,   50.00,   50.07,   50.00,   49.58,   49.90,   49.68,   49.94,   49.81,   49.17,   49.24,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:33,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.0,  23.3,  -4.6,  26.88,  22.72,     0.00,   52.31,    0.56,  30.49,    0.0,    0.00,   51.20,   50.65,   50.66,   50.78,   50.00,   50.07,   49.97,   49.59,   49.87,   49.68,   49.91,   49.78,   49.18,   49.21,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:34,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.1,  23.4,  -4.7,  26.86,  22.71,     0.00,   52.30,    0.57,  30.49,    0.0,    0.00,   51.20,   50.65,   50.67,   50.78,   50.00,   50.07,   50.00,   49.58,   49.89,   49.71,   49.92,   49.80,   49.18,   49.25,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:35,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.8,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.1,  23.4,  -4.7,  26.85,  22.70,     0.00,   52.31,    0.57,  30.49,    0.0,    0.00,   51.20,   50.65,   50.66,   50.79,   50.00,   50.07,   50.01,   49.61,   49.88,   49.71,   49.93,   49.81,   49.19,   49.21,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-05-02, 13:58:36,  +00:00,       ,             ,             ,   261.1, 30.50,        ,  10.5,   0.00,       ,  -16.00,       ,       ,       ,       ,      ,      ,  24.2,  23.5,  -4.8,  26.84,  22.70,     0.00,   52.29,    0.57,  30.48,    0.0,    0.00,   51.20,   50.65,   50.67,   50.78,   50.00,   50.08,   50.01,   49.60,   49.87,   49.69,   49.94,   49.79,   49.19,   49.21,        ,        ,        ,         ,       ,       ,        ,        ,        ,        ,   0,  GPS,  320.0, 108.75, 108.75, 122.905, 119.330,       ,       ,       ,       ,       ,       ,   -1.2,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
