Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 MAP,E1 RPM,E1 %Pwr,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,E1 TIT1,E1 TIT2,E1 Torq,E1 NG,E1 ITT,E2 FFlow,E2 MAP,E2 RPM,E2 Torq,E2 NG,E2 ITT,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
,,,,,,,30.33,,,0.00,,,,,,,,,,,,,,,,,30.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:17:32,+00:00,,,,311.4,30.33,,,0.00,,,,,,,,,,,,,,0.00,,,30.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:17:35,+00:00,,,,311.4,30.33,,19.0,0.00,,-16.00,,,,,,,25.2,24.6,-7.9,46.00,45.53,0.00,150.37,0.36,30.25,0.0,0.00,171.46,175.64,180.47,174.13,166.02,156.11,203.58,234.26,190.97,188.32,188.19,154.08,404.67,346.07,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:17:36,+00:00,,,,311.4,30.33,,19.0,0.00,,-16.00,,,,,,,25.2,24.6,-7.8,46.00,45.53,0.00,150.33,0.37,30.24,0.0,0.00,171.34,175.53,180.33,174.03,165.92,156.00,202.99,234.15,190.69,188.12,187.97,153.74,404.35,344.70,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:18:07,+00:00,,,,310.4,30.33,,18.8,0.00,,-15.39,,,,,,,25.1,24.4,-8.8,46.00,45.47,0.00,148.53,0.36,30.23,0.0,0.00,167.51,171.91,176.59,170.72,162.07,152.01,199.19,225.10,184.76,180.88,181.58,147.71,395.18,342.35,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:18:08,+00:00,,,,310.4,30.33,,18.8,0.00,,-2.52,2.24,-0.75,0.01,-0.00,63.3,,25.1,24.4,-8.9,46.00,45.47,0.00,148.45,0.35,30.23,0.0,0.00,167.39,171.78,176.48,170.62,161.94,151.87,198.82,225.16,184.52,180.68,181.38,147.55,394.94,341.62,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:18:55,+00:00,,,,314.4,30.33,,18.8,0.00,,1.31,1.44,-0.80,0.01,0.00,63.3,,27.6,28.6,8.8,46.00,45.44,3.03,171.15,35.71,13.56,1013.0,0.07,169.80,170.41,175.69,168.52,160.45,150.92,836.51,801.45,787.06,798.50,852.07,824.05,705.60,768.87,,,,,,,,,,,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,,NoSoln,3704,,,,
2022-04-16,16:18:56,+00:00,,49.2079353,4.1491699,315.4,30.33,335.0,18.8,0.00,1.32,0.83,1.44,-0.79,0.02,-0.00,63.3,358.1,27.6,28.7,8.8,46.00,45.45,3.05,170.95,35.96,13.47,1019.9,0.07,170.13,170.66,175.92,168.64,160.66,151.20,841.17,811.55,795.03,813.39,865.44,833.38,714.65,775.18,,,,,,,,,,484.8,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,3.9,3D,3704,,,,
2022-04-16,16:18:57,+00:00,,49.2079201,4.1491733,315.4,30.33,333.1,18.8,0.00,0.00,-0.59,1.41,-0.80,0.01,-0.00,63.3,358.1,27.6,28.7,8.8,46.00,45.44,3.09,170.76,36.24,13.40,1027.5,0.08,170.45,170.90,176.22,168.83,160.90,151.49,846.16,822.83,801.85,824.83,874.55,843.51,724.94,780.69,,,,,,,,,,482.9,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,3.9,3D,3704,,,,
2022-04-16,16:18:58,+00:00,,49.2079086,4.1491776,314.4,30.33,331.1,18.8,0.00,0.00,-14.76,1.40,-0.78,0.02,-0.00,63.3,358.1,27.7,28.7,8.7,46.00,45.45,3.08,170.61,36.26,13.49,1020.2,0.08,170.77,171.15,176.52,168.97,161.13,151.80,855.74,831.50,808.01,836.40,884.83,853.16,733.26,787.60,,,,,,,,,,480.9,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,-3.9,3D,3704,,,,
2022-04-16,16:18:59,+00:00,,49.2078934,4.1491733,314.4,30.33,324.5,18.8,0.00,0.00,-13.97,1.38,-0.80,0.02,0.00,63.3,358.1,27.7,28.7,8.6,46.00,45.45,3.08,170.45,36.53,13.41,1028.1,0.08,171.10,171.41,176.80,169.14,161.38,152.09,859.53,838.99,814.95,844.65,894.88,861.02,740.43,792.76,,,,,,,,,,474.3,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,0.0,3D,3704,,,,
2022-04-16,16:19:00,+00:00,,49.2078857,4.1491733,314.4,30.33,322.1,18.8,0.00,0.00,1.39,1.37,-0.81,0.02,-0.01,63.3,358.1,27.7,28.7,8.6,46.00,45.45,3.08,170.26,36.43,13.51,1021.0,0.08,171.42,171.68,177.10,169.29,161.63,152.42,863.14,846.15,820.76,850.82,901.87,868.77,746.16,797.05,,,,,,,,,,471.9,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,7.9,3D,3704,,,,
2022-04-16,16:19:01,+00:00,,49.2078857,4.1491747,314.4,30.33,324.2,18.8,0.00,0.00,-8.74,1.37,-0.81,0.01,0.00,63.3,358.1,27.7,28.7,8.5,46.00,45.45,3.08,170.06,36.49,13.45,1025.5,0.08,171.77,171.92,177.35,169.45,161.89,152.73,866.89,850.28,826.12,854.69,909.43,876.55,750.44,801.52,,,,,,,,,,474.0,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,3.9,3D,3704,,,,
2022-04-16,16:19:02,+00:00,,49.2078590,4.1491609,315.4,30.33,304.8,18.8,0.00,0.00,-6.98,1.36,-0.82,0.01,-0.01,63.3,358.1,27.7,28.7,8.4,46.00,45.45,3.07,169.88,36.48,13.51,1022.4,0.08,172.10,172.21,177.70,169.64,162.15,153.08,870.06,857.82,831.79,867.54,920.79,882.65,759.00,805.90,,,,,,,,,,454.6,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,0.0,3D,3704,,,152.0,
2022-04-16,16:19:03,+00:00,,49.2078590,4.1491604,314.4,30.33,304.6,18.8,0.00,0.00,-2.20,1.36,-0.82,0.01,-0.00,63.4,358.1,27.7,28.7,8.3,46.00,45.46,3.07,169.73,36.70,13.45,1029.0,0.08,172.44,172.47,177.97,169.83,162.43,153.43,873.52,864.57,836.91,875.45,925.56,889.46,766.52,810.44,,,,,,,,,,454.4,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,0.0,3D,3704,,,151.5,
2022-04-16,16:19:04,+00:00,,49.2078590,4.1491609,314.4,30.33,306.3,18.8,0.00,0.00,-14.33,1.34,-0.81,0.01,0.01,63.4,358.1,27.7,28.7,8.2,46.00,45.45,3.05,169.58,36.90,13.42,1032.5,0.08,172.77,172.75,178.32,170.02,162.69,153.79,878.14,869.75,841.77,882.55,933.22,896.46,772.14,814.89,,,,,,,,,,456.1,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,3.9,3D,3704,,,151.5,
2022-04-16,16:19:05,+00:00,,49.2078590,4.1491613,314.4,30.33,306.3,18.8,0.00,0.00,-23.87,1.38,-0.81,0.01,-0.00,63.4,358.1,27.7,28.7,8.1,46.00,45.45,3.03,169.42,36.62,13.54,1021.4,0.08,173.12,173.01,178.64,170.22,162.99,154.13,880.93,874.39,847.76,884.99,942.94,903.92,776.36,819.41,,,,,,,,,,456.2,0,GPS,52.2,108.75,108.75,134.930,134.930,,,,,,,1.9,0,NONE,NONE,,,0.0,3D,3704,,,151.5,
