#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DE", unit_software_version="15.24", system_software_part_number="006-B0764-37", system_id="256EB5967", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-08-25, 14:27:28,  +00:00,       ,             ,             ,  1465.0, 30.00,        ,  31.5,   0.00,       ,    0.70,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,       ,       ,     0.00,  134.30,   -0.07,  28.70,    0.0,    0.00,  138.48,  127.79,  134.05,  124.51,  129.32,  118.50,  128.24,  117.66,  124.01,  112.63,  119.81,  109.84,  126.33,  128.58,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:29,  +00:00,       ,             ,             ,  1465.0, 30.00,        ,  31.5,   0.00,       ,    0.03,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.24,  23.11,     0.00,        ,        ,       ,    0.0,    0.00,        ,        ,        ,        ,  129.32,  118.51,  128.17,  117.64,  124.00,  112.60,  119.79,  109.80,        ,        ,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:30,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.24,  23.11,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:31,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  23.24,  23.11,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:32,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,      ,      ,      ,  23.24,  23.11,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:33,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    2.35,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,       ,       ,     0.00,  134.34,   -0.06,  28.70,    0.0,    0.00,  138.51,  127.78,  134.08,  124.55,  129.32,  118.51,  128.20,  117.66,  124.00,  112.63,  119.79,  109.84,  126.29,  128.57,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:34,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.11,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.28,  23.10,     0.00,  134.35,   -0.06,  28.70,    0.0,    0.00,  138.51,  127.80,  134.10,  124.54,  129.32,  118.50,  128.17,  117.66,  123.96,  112.60,  119.75,  109.80,  126.20,  128.60,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:35,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.29,  23.11,     0.00,  134.35,   -0.07,  28.70,    0.0,    0.00,  138.49,  127.80,  134.08,  124.55,  129.30,  118.51,  128.13,  117.64,  123.96,  112.60,  119.75,  109.80,  126.20,  128.60,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:36,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.30,  23.12,     0.00,  134.35,   -0.07,  28.70,    0.0,    0.00,  138.51,  127.80,  134.08,  124.54,  129.30,  118.51,  128.17,  117.66,  123.97,  112.64,  119.78,  109.84,  126.23,  128.64,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-08-25, 14:27:37,  +00:00,       ,             ,             ,  1466.0, 30.00,        ,  31.5,   0.00,       ,    0.00,       ,       ,       ,       ,      ,      ,  25.6,  24.9, -10.3,  23.32,  23.12,     0.00,  134.36,   -0.08,  28.71,    0.0,    0.00,  138.51,  127.80,  134.06,  124.54,  129.31,  118.49,  128.19,  117.69,  123.94,  112.66,  119.76,  109.84,  126.26,  128.65,        ,   0,  GPS,  249.0, 108.40, 108.40, 119.625, 121.500,       ,       ,       ,      ,       ,       ,    3.1,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
