System Info,v2.00
Aircraft Report Version,Date,Time,GDU Software Version,Airframe Name,System ID,System Part Number,System Version,Cockpit Ref Guide Part Number,Aircraft Identifier,Aircraft Serial Number,Flight Time (seconds)
"3","07-06-2022","13:54:01","21.50.5","Cirrus SR22 Turbo","000000025B289D04","006-B2647-N8","2647.N8","GPN 190-02184-XX","N122DR ","","734350"

Product Data,v2.00
LRU,Status,Serial Number,SW Part Number,Version,Product String,Description,Model Number,Functions Present,Parent LRU,Power-on Count,Power-on Time
"CO GUARDIAN","OK","PCOG452","","","Aero-452","CO GUARDIAN CO Detector","0","0",,,
"COM 1","OK","","006-B2371-02","2.02","COM 64","COM SYS","0","0",,,
"COM 1 Aircraft CONFIG","OK","","","","","","0","0","COM 1",,
"COM 1 System","OK","","006-B2371-02","2.02","COM 64","COM SYS","0","0","COM 1",,
"COM 1 Boot Block","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","COM 1",,
"COM 1 Region List","OK","","006-D6512-00","2.00","","GIA64 COM Region List","0","0","COM 1",,
"COM 1 GARMIN Public Key","N/A","","006-D6512-K0","2.00","","GIA64 COM Key Region","0","0","COM 1",,
"COM 2","OK","","006-B2371-02","2.02","COM 64","COM SYS","0","0",,,
"COM 2 Aircraft CONFIG","OK","","","","","","0","0","COM 2",,
"COM 2 System","OK","","006-B2371-02","2.02","COM 64","COM SYS","0","0","COM 2",,
"COM 2 Boot Block","N/A","","006-B2371-BA","2.00","","GIA 64 COM/NAV Bootblock SW","0","0","COM 2",,
"COM 2 Region List","OK","","006-D6512-00","2.00","","GIA64 COM Region List","0","0","COM 2",,
"COM 2 GARMIN Public Key","N/A","","006-D6512-K0","2.00","","GIA64 COM Key Region","0","0","COM 2",,
"FS510","OK","402006523","006-B2021-71","2.71","FS 510","FS 510 System Software","1","0",,,
"FS510 System","N/A","402006523","006-B2021-71","2.71","FS 510","FS 510 System Software","1","0","FS510",,
"FS510 FPGA","N/A","","006-C0166-21","2.1","","FS 510 XILINX","1","0","FS510",,
"FS510 FPGA","N/A","","006-C0166-21","2.1","","FS 510 XILINX","0","0","FS510",,
"GCU 1","OK","4RJ000810","006-B0742-12","3.10","GCU/GMC SYS","G1000 GCU/GMC SYS","50","0",,,
"GDC 1","OK","3KY002526","006-B1838-58","2.08","GSU75 ADC","GSU75 ADC","0","0",,,
"GDC 1 Aircraft CONFIG","OK","","006-D6037-13","2.00","","GDC 72/GSU 75 ADC Cirrus SR2","0","0","GDC 1",,
"GDC 1 BB","N/A","","006-B1838-BD","2.02","","GSU75/GRS79/GDC72 BBL","0","0","GDC 1",,
"GDC 1 RGN LIST","N/A","","006-D5080-50","2.00","","GSU75 ADC region list","0","0","GDC 1",,
"GDC 2","OK","3KY002528","006-B1838-58","2.08","GSU75 ADC","GSU75 ADC","0","0",,,
"GDC 2 Aircraft CONFIG","OK","","006-D6037-13","2.00","","GDC 72/GSU 75 ADC Cirrus SR2","0","0","GDC 2",,
"GDC 2 BB","N/A","","006-B1838-BD","2.02","","GSU75/GRS79/GDC72 BBL","0","0","GDC 2",,
"GDC 2 RGN LIST","N/A","","006-D5080-50","2.00","","GSU75 ADC region list","0","0","GDC 2",,
"GEA 1","OK","497001565","006-B2139-09","2.60","GEA 71B","GEA71B System Software","0","0",,,
